year,month,day_endofweek,countyfips,spend_all
2020,1,12,30017,.0701
2020,1,12,30021,-.0221
2020,1,12,30027,-.0223
2020,1,12,30041,-.114
2020,1,12,30043,.0526
2020,1,12,30047,-.00831
2020,1,12,30049,-.0141
2020,1,12,30053,-.0232
2020,1,12,30057,-.0252
2020,1,12,30067,.0394
2020,1,12,30081,.0137
2020,1,12,30083,.106
2020,1,12,30093,-.0782
2020,1,12,30105,.0785
2020,1,12,31001,.00139
2020,1,12,31003,-.0309
2020,1,12,31023,.0751
2020,1,12,31025,-.0331
2020,1,12,31031,-.0474
2020,1,12,31035,.0934
2020,1,12,31037,.0682
2020,1,12,31039,.0157
2020,1,12,31041,.0662
2020,1,12,31043,.13
2020,1,12,31047,.0335
2020,1,12,31053,-.00141
2020,1,12,31055,-.00415
2020,1,12,31057,.00459
2020,1,12,31067,.0767
2020,1,12,31073,.0473
2020,1,12,31079,-.0436
2020,1,12,31081,.00688
2020,1,12,31089,.0302
2020,1,12,31093,-.0356
2020,1,12,31095,.00239
2020,1,12,31101,-.0148
2020,1,12,31109,.0149
2020,1,12,31111,-.0422
2020,1,12,31119,.0276
2020,1,12,31121,.0585
2020,1,12,31131,.0553
2020,1,12,31135,-.116
2020,1,12,31141,-.0028
2020,1,12,31143,.1
2020,1,12,31145,-.0284
2020,1,12,31151,.0313
2020,1,12,31153,.0122
2020,1,12,31155,.0562
2020,1,12,31157,.0859
2020,1,12,31159,-.0142
2020,1,12,31177,.183
2020,1,12,31185,.0283
2020,1,12,32001,.00778
2020,1,12,32003,-.026
2020,1,12,32005,.058
2020,1,12,32007,.0185
2020,1,12,32013,-.0313
2020,1,12,32015,.0689
2020,1,12,32019,.0154
2020,1,12,32023,-.0375
2020,1,12,32031,-.0346
2020,1,12,32510,-.0225
2020,1,12,33001,.000853
2020,1,12,33003,-.00949
2020,1,12,33005,-.058
2020,1,12,33007,.0476
2020,1,12,33009,-.0565
2020,1,12,33011,.0104
2020,1,12,33013,.00747
2020,1,12,33015,.00264
2020,1,12,33017,.00336
2020,1,12,33019,.105
2020,1,12,34001,.00849
2020,1,12,34003,.00897
2020,1,12,34005,.00852
2020,1,12,34007,-.0173
2020,1,12,34009,.00586
2020,1,12,34011,.0244
2020,1,12,34013,-.053
2020,1,12,34015,-.011
2020,1,12,34017,.0272
2020,1,12,34019,-.0697
2020,1,12,34021,-.0214
2020,1,12,34023,-.0274
2020,1,12,34025,.012
2020,1,12,34027,-.0461
2020,1,12,34029,.0154
2020,1,12,34031,-.00418
2020,1,12,34033,.0391
2020,1,12,34035,.0135
2020,1,12,34037,.0149
2020,1,12,34039,-.0086
2020,1,12,34041,.0318
2020,1,12,35001,-.0408
2020,1,12,35005,-.0582
2020,1,12,35006,-.0999
2020,1,12,35009,-.0397
2020,1,12,35013,-.00168
2020,1,12,35015,-.0362
2020,1,12,35017,-.00119
2020,1,12,35025,-.022
2020,1,12,35027,.0104
2020,1,12,35028,.171
2020,1,12,35029,-.113
2020,1,12,35031,.00182
2020,1,12,35035,.0217
2020,1,12,35039,.0671
2020,1,12,35041,-.128
2020,1,12,35043,.0176
2020,1,12,35045,.0000281
2020,1,12,35047,-.131
2020,1,12,35049,-.000649
2020,1,12,35053,-.0295
2020,1,12,35055,-.0464
2020,1,12,35057,.0814
2020,1,12,35061,.0177
2020,1,12,36001,-.0203
2020,1,12,36005,-.00306
